2015-10-06 13:07:38,483 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.enclaveit.brea:breaWebapp:1.0-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/pom.xml.
2015-10-06 13:07:40,143 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-classic-core:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,250 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libbase:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,262 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libdocbundle:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,264 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libfonts:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,275 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformat:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,291 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformula:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,337 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libloader:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,358 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:librepository:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,366 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libserializer:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,382 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libxml:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:40,403 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libswing:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:07:40,409 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:07:40,626 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:07:40,656 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.fife.ui:rsyntaxtextarea:jar:1.3.2 is missing, no dependency information available
2015-10-06 13:07:40,875 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-legacy-charts:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:07:43,648 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-classic-core:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,651 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libbase:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,652 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libdocbundle:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,654 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libfonts:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,668 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformat:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,675 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformula:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,676 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libloader:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,677 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:librepository:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,684 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libserializer:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,686 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libxml:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:43,687 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libswing:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:07:43,689 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:07:43,723 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:07:43,726 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.fife.ui:rsyntaxtextarea:jar:1.3.2 is missing, no dependency information available
2015-10-06 13:07:43,748 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-legacy-charts:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:07:45,984 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:07:45,990 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:07:46,003 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
